seed,weight_factor,floor_mean,floor_std,wt_mech,wt_lin
0,0.3,0.010068488121032716,0.004389804761779194,0.012354445457458497,0.013615956902503968
1,0.425,0.009363377094268798,0.004990917799986847,0.012209022045135498,0.012340959906578065
2,0.55,0.008709752559661865,0.004604339229256246,0.011204338073730469,0.013090118765830994
3,0.675,0.009384119510650634,0.0042013621208385156,0.01070987582206726,0.012917682528495789
4,0.8,0.009214580059051514,0.004325918274225021,0.011311167478561401,0.012555238604545594
5,0.3,0.009126603603363037,0.003776244320694369,0.011211398243904113,0.012522605061531068
6,0.425,0.00988692045211792,0.008663014467347834,0.012382769584655761,0.012082812190055848
7,0.55,0.005488681793212891,0.0017499521696530016,0.011951974034309388,0.015144145488739014
8,0.675,0.007034802436828613,0.0037713811145410787,0.013459208607673644,0.014033448696136475
9,0.8,0.009517598152160644,0.005586096032652582,0.010581058263778687,0.01262972354888916
10,0.3,0.007219994068145752,0.002827397833017515,0.01053352952003479,0.014441779255867005
11,0.425,0.009092593193054199,0.006548368534408646,0.012985336780548095,0.013659289479255677
12,0.55,0.006396543979644775,0.00427755942881121,0.014238253235816956,0.015524312853813171
13,0.675,0.007402670383453369,0.002679345008765824,0.012519538402557373,0.014219418168067932
14,0.8,0.009572637081146241,0.007314753229852994,0.013469287753105163,0.012149098515510558
15,0.3,0.0073860764503479006,0.002583934004932545,0.013388252258300782,0.012571361660957337
16,0.425,0.006599807739257812,0.005661642911196297,0.010441452264785767,0.011237227916717529
17,0.55,0.009333586692810059,0.006140167996805727,0.012728050351142883,0.012591397762298584
18,0.675,0.009469926357269287,0.00595137808063377,0.012926283478736877,0.013653957843780517
19,0.8,0.006350529193878174,0.0023673330513320693,0.011758247017860412,0.01474534571170807
20,0.3,0.011247241497039795,0.01172186470196229,0.011337697505950928,0.013837957382202148
21,0.425,0.009518206119537354,0.004808718077266445,0.011186814308166504,0.013034877181053162
22,0.55,0.006592154502868652,0.003055859918905544,0.011656868457794189,0.011928260326385498
23,0.675,0.007364344596862793,0.004010619806173087,0.011801719665527344,0.012777826189994812
24,0.8,0.00893944501876831,0.005140824869745094,0.01444629430770874,0.011766421794891357
25,0.3,0.008968937397003173,0.003882857943126065,0.011219531297683716,0.011828023195266723
26,0.425,0.008996796607971192,0.0047615139266525145,0.011308485269546508,0.013887590169906617
27,0.55,0.006433570384979248,0.0025320311268482135,0.01318131983280182,0.01180458664894104
28,0.675,0.00708698034286499,0.0026408191810808664,0.013947021961212159,0.013250690698623658
29,0.8,0.009796988964080811,0.007175479459960143,0.012767896056175232,0.011840742826461793
30,0.3,0.01143028736114502,0.006202781676339279,0.010463467240333557,0.011949101090431213
31,0.425,0.007184815406799316,0.0030737148838926903,0.012105640769004822,0.010951465368270874
32,0.55,0.007423603534698486,0.0035363003442857094,0.011875227093696594,0.012492382526397705
33,0.675,0.007235705852508545,0.0034255572197119675,0.011070919036865235,0.013466858863830566
34,0.8,0.007364296913146972,0.004355900750496983,0.014926210045814514,0.013139715790748597
35,0.3,0.005792772769927979,0.0019163220693852701,0.013880088925361633,0.011762595176696778
36,0.425,0.006140685081481934,0.0022071665837928474,0.0121816486120224,0.012825304269790649
37,0.55,0.008116376399993897,0.003841376858151768,0.01344473659992218,0.014364030957221986
38,0.675,0.009362292289733887,0.004033531850077206,0.01040898561477661,0.012654918432235717
39,0.8,0.009330284595489503,0.007687463370322536,0.014160925149917602,0.013395768404006959
40,0.3,0.00696793794631958,0.004619497472208623,0.01165618896484375,0.013529440760612488
41,0.425,0.006709396839141846,0.002989800847552387,0.013574364781379699,0.013092172145843507
42,0.55,0.007766437530517578,0.0035979894925992563,0.014290955662727357,0.0120510995388031
43,0.675,0.007374870777130127,0.003874955305774006,0.01182110607624054,0.01208057701587677
44,0.8,0.008492708206176758,0.003665161137542781,0.013059008121490478,0.013507607579231262
45,0.3,0.008025562763214112,0.0035065803330518158,0.013266712427139282,0.013821718096733094
46,0.425,0.008651173114776612,0.004776003578626482,0.011329922080039977,0.012532058358192443
47,0.55,0.007324624061584473,0.00440678619392422,0.010188433527946471,0.013489672541618347
48,0.675,0.00886918306350708,0.0033349400321649914,0.010666799545288087,0.014087095856666565
49,0.8,0.008546018600463867,0.0047459730041354755,0.013259658217430114,0.012447941303253173
50,0.3,0.006785249710083008,0.0019675808539720055,0.011367657780647277,0.013274914026260376
51,0.425,0.0089788556098938,0.002832128246011629,0.014793491363525391,0.011777302622795105
52,0.55,0.007204699516296387,0.0021430300216627052,0.01103619635105133,0.01514858603477478
53,0.675,0.00749516487121582,0.003573392574098402,0.01244705617427826,0.014110565185546875
